Level Book,"root LevelBook_nour.c (\""SCH3U-S22-0122-013.csv\"")",,,,,,t=test,q=quiz,,,g=googledocs for the whole strand,,,,p=project,,L= Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,O.A,,pA = Article,,,,pP = Presentation,,,f=portfolio for the whole strand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPECTATION LEGEND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SCIENTIFIC INVESTIGATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Research & Careers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MATTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Matter Properties ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Periodic Table Trends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Elements & Compounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,CHEMICAL RECATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Analysis Chemical Rxns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Types Chemical Rxns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Identifying & Exploring Rxns ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,QUANT. IN CHEM. REACT.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Mole Concept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Quantitative Real App.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Solve Quantitative Problems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,SOLUTIONS & SOLUBILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Envir. Issues Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Quant. Qual. Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Modelling Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,GASES & ATM. CHEMISTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Envir. Issues Gas ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Gas Laws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Modeling Gases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,SUMMATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,EXAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(End),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evaluations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expectation,a,1,2,2,3,4,5,6,4,6,4,5,6,5,6,7,8,9,10,8,9,11,12,13,14,13,14,12,10,14,16,13,15,16,17,18,17,17,17,18,17,18,19,20,21,21,21,21,22,22,23,24,,
Type,a,O.A,pA,pP,O.A,q1,q1,q1,g1+2,f1+2,t1+2,t1+2,t1+2,t1+2,t1+2,O.A,t3,t3,t3,g3,f3,O.A,t4,t4,t4,g4,f4,L4,t5,t5,t5,f5,O.A,t6&7,t6&7,t6&7,f6&7,f8,t8,t8,L6&7,L8,O.A,t9&10,a1,a2,f9&10,t9&10,t9&10,a3,S,E,Term Average,Total Average
last,first name,4,4+,-4,3,-3,3+,2+,3,B,4+,3,4,1,-2,3,2,-4,3,3+,3+,-3,2,B,B,3,R-,4+,-3,5,5,4+,-4,5,2+,3+,4,4,4+,3,4,4,3+,5,4+,4+,4,3+,3+,4,4+,5,79.16666666666667,84.91666666666666
last,first name,3,4+,B,4+,3+,3+,5,-4,2+,3,5,4+,4+,5,4,3+,4,4+,2+,B,4,4+,5,-4,1+,B,4,-4,4,1,4+,4+,5,4+,5,4,4,5,4+,4+,4+,5,5,4+,4+,4,5,5,4,5,5,90.83333333333333,93.58333333333333
